longitude,latitude,OBJECTID,HOUSE_NUMB,HYPERLINK,BUILDING_N,LEVEL_NO,STREETNAME,POSTALCODE,DESCRIPTIO,NAME_OF_SC,UNIT_NO,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
103.84413837674556,1.298132155734372,24,190,http://www.tmisbiz.edu.sg,SINGAPORE SHOPPING CENTRE,06,CLEMENCEAU AVENUE,239924,Private Education Institutions,TMIS BUSINESS SCHOOL,11,F1559C36B06E59C8,2014/01/27,29204.14730000000,31166.37940000000
103.85692753910622,1.296156694124331,25,100,http://www.guilford.com.sg/,SHAW TOWER,02,BEACH ROAD,189702,Private Education Institutions,GUILFORD TRAINING CENTRE,19,CC8104D98068C755,2014/01/27,30627.46940000000,30947.95280000000
103.88077011478066,1.30843228965568,26,231,http://www.hanbridge.edu.sg,BLOCK F,01,MOUNTBATTEN ROAD,397999,Private Education Institutions,HANBRIDGE SCHOOL,01,C4253D3A96BD9D44,2014/01/27,33280.91330000000,32305.36260000000
103.88347931483068,1.354445877829897,27,36,http://www.dps.edu.sg,DPS INTERNATIONAL SCHOOL SINGAPORE,,AROOZOO AVENUE,539842,Private Education Institutions,DPS INTERNATIONAL SCHOOL,,FCE5054897E5049A,2014/01/27,33582.31850000000,37393.31710000000
103.84334933559155,1.31747005442448,28,101,,UNITED SQUARE,18,THOMSON ROAD,307591,Private Education Institutions,DULWICH COLLEGE (SINGAPORE),05,8F0EEAF7EED20337,2014/01/27,29116.32550000000,33304.66450000000
103.8456109922126,1.32817916556997,29,9,http://www.easb.edu.sg,,,AH HOOD ROAD,329975,Private Education Institutions,EAST ASIA INSTITUTE OF MANAGEMENT,,08BC1D886F91AABA,2014/01/27,29368.01990000000,34488.82420000000
103.84954059686515,1.301232506172409,30,1,http://www.eastwestacademy.net,PEACE CENTRE,03,SOPHIA ROAD,228149,Private Education Institutions,EASTWEST ACADEMY,18,CBF2AA68715E4B64,2014/01/27,29805.36410000000,31509.20350000000
103.87246395892998,1.315586818950896,31,1205,http://www.edesacademy.com,GEYLANG WEST COMMUNITY CENTRE,01,UPPER BOON KENG ROAD,387311,Private Education Institutions,EDES ACADEMY,06,5439489C0FFE1AEE,2014/01/27,32356.50310000000,33096.45790000000
103.84777191654055,1.285545612797879,32,1,http://www.edhec-risk.com,,07,GEORGE STREET,049145,Private Education Institutions,EDHEC RISK INSTITUTE - ASIA,02,A2197DFA83142ACF,2014/01/27,29608.53580000000,29774.62640000000
103.84092049438894,1.28294223009276,33,18,http://www.nexusacademics.com,,02,PEARL'S HILL TERRACE,168975,Private Education Institutions,NEXUS ACADEMICS TRAINING CENTRE,01,E03C9DEB59A04135,2014/01/27,28846.03060000000,29486.75450000000
