longitude,latitude,OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSFLO,ADDRESSPOS,ADDRESSSTR,ADDRESSTYP,ADDRESSUNI,DESCRIPTIO,HYPERLINK,LANDXADDRE,LANDYADDRE,NAME,PHOTOURL,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
103.96444423823425,1.367946985642137,17,11,,,518458,Pasir Ris Drive 2,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=971,0.00000000000,0.00000000000,Bethesda (Pasir Ris) Kindergarten,,2BFF0E07A816F6F5,2012/08/26,42592.72220000000,38886.54170000000
103.89653451172428,1.368748250458747,18,328,,1,530328,Hougang Avenue 5,A,196,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=714,0.00000000000,0.00000000000,PCF Hougang Blk 328-708,,E7315095C3842C1E,2012/09/06,35035.17240000000,38974.83560000000
103.81072126369655,1.323210284548604,19,559,,B1,269695,Bukit Timah Road,,1,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=2025,0.00000000000,0.00000000000,Bibinogs Preschool (King's Arcade),,C19E2FD8F2BA9AD3,2012/08/26,25485.14460000000,33939.39890000000
103.93293890715645,1.328109062532502,20,409,,1,460409,Bedok North Avenue 2,A,26,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=736,0.00000000000,0.00000000000,PCF Kampong Chai Chee Blk 409,,2BE7771723F4C7D5,2012/09/06,39086.73060000000,34481.29250000000
103.76754396793868,1.360872963007526,21,488,,,678091,Upper Bukit Timah Road,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=976,0.00000000000,0.00000000000,Bukit Panjang Methodist Church Kindergarten,,72325E25CCC247FE,2012/08/26,20680.05360000000,38104.03360000000
103.7711430424998,1.291557247928065,22,396,,1,118733,Pasir Panjang Road,,2,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1252,0.00000000000,0.00000000000,Buttercups Kindergarten (Pasir Panjang),,73018CE5C238AA1B,2012/08/26,21080.39620000000,30439.44220000000
103.85525340136221,1.302401488883216,23,2,,4,180002,Rochor Road,A,582,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=737,0.00000000000,0.00000000000,PCF Kampong Glam Blk 2,,DD92C2115B37E7B0,2012/09/06,30441.14670000000,31638.46840000000
103.88556357057077,1.329661502469434,24,31,,1,370031,Balam Road,A,103,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=707,0.00000000000,0.00000000000,PCF MacPherson Blk 31,,34098916C5FEF6E1,2012/09/06,33814.33110000000,34652.79150000000
103.74670746649392,1.377307634914051,25,172,,,689457,Choa Chu Kang Avenue 1,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=998,0.00000000000,0.00000000000,CGM Kindergarten,,A8AB1234BBF4A933,2012/08/26,18361.25830000000,39921.37130000000
103.91291182305504,1.319639163122634,26,8B,Kingston Terrace,1,418929,Jalan Masjid,,3,MOE-registered kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1490,0.00000000000,0.00000000000,Charis Montessori Preschool,,4C64255CA3D486D3,2012/08/26,36857.94800000000,33544.65280000000
103.79835908107894,1.331676421062918,27,3,,,287775,Vanda Road,A,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=993,0.00000000000,0.00000000000,Cherrybrook Kindergarten,,68A1A4C7C099EFC2,2012/08/26,24109.37030000000,34875.55700000000
103.89494613121332,1.395559948135611,28,262A,,1,541262,Compassvale Street,A,117,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=819,0.00000000000,0.00000000000,PCF Punggol Central Blk 262A,,BD225DC1C909F467,2012/09/06,34858.32780000000,41939.53410000000
103.83776654970875,1.422118090757382,29,646,,1,760646,Yishun Street 61,A,354,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=781,0.00000000000,0.00000000000,PCF Nee Soon Central Blk 646-644,,5AF908521D8D3A2C,2012/09/06,28494.99440000000,44876.11000000000
103.8456058934953,1.31530202261696,30,2,,,309458,Derbyshire Road,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1248,0.00000000000,0.00000000000,Derbyshire Kindergarten,,2AEA8C1398ADD7EC,2012/08/26,29367.45960000000,33064.93580000000
103.91323350938623,1.312625526588654,31,107,,,425542,Lorong L Telok Kurau,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1102,0.00000000000,0.00000000000,Kits4Kids Kindergarten,,6A5ADE1AF19208FB,2012/09/10,36893.77340000000,32769.12130000000
103.86424921465014,1.323894123667328,32,1079,,,328182,Serangoon Road,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1019,0.00000000000,0.00000000000,Elim Kindergarten,,65B1DE2C6CE06823,2012/08/26,31442.26980000000,34015.02430000000
103.79249581717545,1.440110142657283,33,851,,1,730851,Woodlands Street 83,A,18,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1021,0.00000000000,0.00000000000,Elite Learning Kindergarten (Woodlands),,6961B974B309FDAD,2012/08/26,23457.05640000000,46865.62080000000
103.8925510717545,1.360929320683128,34,120,,,535136,Tampines Road,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1023,0.00000000000,0.00000000000,En-Naeem Mosque Kindergarten,,B9237191212F9691,2012/08/26,34591.88460000000,38110.24640000000
103.79176136364151,1.439496591913469,35,1,,,738488,Woodlands Street 83,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1024,0.00000000000,0.00000000000,Evangel Kindergarten,,A90DA5FE810662C4,2012/08/26,23375.32180000000,46797.77890000000
103.84428186664287,1.279935241564555,36,1,,,88437,Tanjong Pagar Road,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1025,0.00000000000,0.00000000000,Fairfield Methodist Church Kindergarten,,4BF08703CCE6EDB1,2012/08/26,29220.12510000000,29154.25870000000
103.85170538359762,1.308835059484903,37,90,,,218577,Race Course Road,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1029,0.00000000000,0.00000000000,Foochow Methodist Church Kindergarten,,2718B89A58B670B4,2012/08/26,30046.27930000000,32349.85640000000
103.91379113922237,1.331286905291923,38,606,,1,470606,Bedok Reservoir Road,A,736,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1119,0.00000000000,0.00000000000,Malay Youth Literary Association Kindergarten,,6E5DDD4251E86843,2012/09/10,36955.76550000000,34832.60480000000
103.77553267246238,1.338307997212044,39,11,,,597611,Pei Wah Avenue,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1032,0.00000000000,0.00000000000,Glory Kindergarten,,F1DD5519DF1CAAA5,2012/08/26,21569.04420000000,35608.89090000000
103.73901728320429,1.377899085766909,40,475,,2,680475,Choa Chu Kang Avenue 3,A,15,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1093,0.00000000000,0.00000000000,Kinderland (Choa Chu Kang) Kindergarten,,C028840611C4EFA5,2012/09/06,17505.43820000000,39986.80350000000
103.89912935609243,1.314311840232049,41,81,,4,427725,Joo Chiat Road,,1,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1039,0.00000000000,0.00000000000,Great Beginnings Montessori Pre-school,,8B944CA0F1AD27A4,2012/08/26,35324.10930000000,32955.53960000000
103.8459647040455,1.357610268319067,42,229,,B1,570229,Bishan Street 23,A,53,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1103,0.00000000000,0.00000000000,Knowledge Frontier Centre,,C6B7A25C3219BA6C,2012/09/06,29407.36770000000,37743.16530000000
103.87854794241436,1.354976862517903,43,777,,1,534645,Upper Serangoon Road,D,1,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1044,0.00000000000,0.00000000000,Hanis Montessori Kindergarten (Kovan),,A1D009B264F47C99,2012/08/26,33033.51180000000,37452.02000000000
103.82909185866762,1.301530566688115,44,2A,,,238565,Paterson Hill,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1107,0.00000000000,0.00000000000,Little Hands Montessori Kindergarten,,64CB575FEFEFF154,2012/09/06,27529.60420000000,31542.15610000000
103.82909185866762,1.301530566688115,45,2A,,,238565,Paterson Hill,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1110,0.00000000000,0.00000000000,Little Raindrops Montessori Pre-School,,64CB575F9256144D,2012/09/06,27529.60420000000,31542.15610000000
103.74025336153858,1.377766283759513,46,21,,,689907,Choa Chu Kang Avenue 2,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1054,0.00000000000,0.00000000000,Hope Community Kindergarten (Choa Chu Kang),,C7A5D86661EDE278,2012/08/26,17642.99790000000,39972.11350000000
103.9452007206753,1.344680738864179,47,136,,1,521136,Tampines Street 11,A,156,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1068,0.00000000000,0.00000000000,Iman Kindergarten (Tampines),,67480D349A8E6658,2012/08/26,40451.26410000000,36313.76550000000
103.83660157033633,1.425735436043226,48,934,,1,760934,Yishun Central 1,A,57,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1070,0.00000000000,0.00000000000,Iman Kindergarten (Yishun),,13FD108CBCD66022,2012/08/26,28365.34860000000,45276.09760000000
103.88285910553125,1.365094083391735,49,54,,,549783,Da Silva Lane,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1073,0.00000000000,0.00000000000,JENIUS Kindergarten,,7CEDCFB45E7133BF,2012/08/26,33513.27220000000,38570.74050000000
103.91397408084426,1.309769825586719,50,511,,,429064,East Coast Road,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1138,0.00000000000,0.00000000000,NAFA (SYT) Arts Kindergarten,,DC54B2ABEE18B32C,2012/09/06,36976.20220000000,32453.35490000000
103.8270759331991,1.293072252669366,51,491B,Valley Point Tower,2,248373,River Valley Road,,1,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1075,0.00000000000,0.00000000000,JHS Montessori Kindergarten,,82A406A352B46075,2012/08/26,27305.24760000000,30606.87980000000
103.7221752118455,1.336318541087307,52,2,,,618744,Tah Ching Road,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1079,0.00000000000,0.00000000000,Jurong Christian Church Kindergarten,,B67F3987E8189D6E,2012/08/26,15630.91160000000,35389.11110000000
103.85394161996611,1.307177473564451,53,1,,,208673,Kampong Kapor Road,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1081,0.00000000000,0.00000000000,Kampong Kapor Methodist Church Kindergarten,,7192FF8D7E7F4F8B,2012/08/26,30295.15300000000,32166.57100000000
103.86590280395521,1.324403170939219,54,11,,,339843,Beng Wan Road,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1091,0.00000000000,0.00000000000,Kim Keat Christian Church Kindergarten,,8AC032F61F4BEE64,2012/08/26,31626.29700000000,34071.31450000000
103.79200626211905,1.432925929559305,55,501,,1,730501,Woodlands Drive 14,A,52,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=619,0.00000000000,0.00000000000,PCF Admiralty Blk 501,,DE3CE1943FF35272,2012/09/06,23402.56210000000,46071.22740000000
103.77954841425537,1.319942403142542,56,3,,2,597627,Pandan Valley,A,316,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1098,0.00000000000,0.00000000000,Kinderland Preschool (Pandan Valley),,C89BCF89D8F8C0D3,2012/08/26,22015.90940000000,33578.10660000000
103.8798796108309,1.374571979158514,57,936,,1,530936,Hougang Street 92,A,67,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=626,0.00000000000,0.00000000000,PCF Ang Mo Kio-Hougang Blk 936-937,,07BECAD274FE0B46,2012/09/10,33181.66940000000,39618.75170000000
103.71358004727421,1.346597212034238,58,207,,1,640207,Boon Lay Place,A,215,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=644,0.00000000000,0.00000000000,PCF Boon Lay Blk 207,,607FF621AC498CAA,2012/09/06,14674.41440000000,36525.72140000000
103.88036199307923,1.378797994460326,59,970,,1,530970,Hougang Street 91,A,152,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=834,0.00000000000,0.00000000000,PCF Ang Mo Kio-Hougang Blk 970,,1EE4F6A07F1B0FB2,2012/09/10,33235.34340000000,40086.04420000000
103.87535046428795,1.35086198931504,60,1,,1,531001,Lor Liew Lian,A,359,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=648,0.00000000000,0.00000000000,PCF Braddell Heights Blk 1,,EB1B821F56391234,2012/09/06,32677.67680000000,36997.01180000000
103.91546567865197,1.323029406207019,61,66,,,419006,Jalan Lapang,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1135,0.00000000000,0.00000000000,Muhammadiyah Kindergarten,,0262CC481B85D248,2012/08/26,37142.15490000000,33919.53810000000
103.90545658522772,1.320615575888491,62,38,,,419500,Jalan Eunos,,,MOE-registered Kindergarten,http://preschool.gov.sg/klink/klink/pview/kgt/kgtChildCareView.action?usraction=view&schoolCategory=FAQCAT-002&viewId=1335,0.00000000000,0.00000000000,My Little Gems Kindergarten,,5AF426C0880601F0,2012/08/26,36028.24950000000,33652.59430000000
