latitude,longitude,Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
1.347686,103.771792,SPRINGDALE CONDOMINIUM,47 Hindhede Walk  #06-03 ,1,105,Strata,1280000,12190,1133,30-Jan-14,Condominium,999 Yrs From 21/06/1877,1998,Resale,Private,21,58,587977,West Region,Bukit Panjang
1.347686,103.771792,SPRINGDALE CONDOMINIUM,47 Hindhede Walk  #01-03 ,1,100,Strata,1230000,12300,1143,1-Nov-13,Condominium,999 Yrs From 21/06/1877,1998,Resale,HDB,21,58,587977,West Region,Bukit Panjang
1.346128,103.773259,SOUTHAVEN II,31 Hindhede Walk  #01-12 ,1,171,Strata,1660000,9708,902,28-Nov-13,Condominium,999 Yrs From 21/06/1877,1999,Resale,Private,21,58,587967,West Region,Bukit Panjang
1.316049,103.777127,RIDGEWOOD,15 Mount Sinai Rise  #15-02 ,1,162,Strata,2000000,12346,1147,28-Jan-14,Condominium,999 Yrs From 06/07/1885,1981,Resale,Private,10,27,276906,Central Region,Bukit Timah
1.317753,103.778578,RIDGEWOOD,1 Ridgewood Close  #23-04 ,1,162,Strata,2000000,12346,1147,23-Dec-13,Condominium,999 Yrs From 06/07/1885,1981,Resale,Private,10,27,276692,Central Region,Bukit Timah
1.317502,103.779518,RIDGEWOOD,61 Mount Sinai Drive  #13-05 ,1,186,Strata,2730000,14677,1364,21-Nov-13,Condominium,999 Yrs From 06/07/1885,1981,Resale,Private,10,27,277113,Central Region,Bukit Timah
1.339407,103.779624,SUITES DE LAUREL,2 Jalan Anak Bukit  #02-10 ,1,48,Strata,795000,16563,1539,27-Nov-13,Apartment,999 Yrs From 10/06/1885,2012,Sub Sale,HDB,21,58,588997,Central Region,Bukit Timah
1.320046,103.780684,ALLSWORTH PARK,369 Holland Road  #05-03 ,1,182,Strata,3280000,18022,1674,16-Dec-13,Condominium,999 Yrs From 06/07/1885,1985,Resale,Private,10,27,278640,Central Region,Bukit Timah
1.336777,103.782354,THE BLOSSOMVALE,900 Dunearn Road  #04-15 ,1,146,Strata,1825000,12500,1161,22-Nov-13,Condominium,999 Yrs From 15/08/1884,1998,Resale,HDB,21,58,589473,Central Region,Bukit Timah
1.315724,103.784156,GLENTREES,11C Mount Sinai Lane  #03-13 ,1,134,Strata,1975000,14739,1369,22-Nov-13,Condominium,999 Yrs From 17/09/1885,2005,Resale,Private,10,27,277052,Central Region,Bukit Timah
1.342856,103.785565,HONG KONG PARK,83C Hua Guan Avenue ,1,392,Strata,3500000,8929,829,29-Nov-13,Detached House,999 Yrs From 07/05/1879,2009,Resale,Private,21,58,589215,Central Region,Bukit Timah
1.338293,103.786059,HONG KONG PARK,19 Sian Tuan Avenue ,1,458,Land,8000000,17486,1625,23-Jan-14,Detached House,999 Yrs From 07/05/1879,2007,Resale,Private,21,58,588293,Central Region,Bukit Timah
1.318606,103.7881,N.A.,566 Sixth Avenue ,1,307,Land,3788000,12355,1148,12-Dec-13,Semi-Detached House,999 Yrs From 01/09/1876,Unknown,Resale,Private,10,27,276641,Central Region,Bukit Timah
1.34767,103.79083,LA SUISSE,58 Swiss View  #04-01 ,1,154,Strata,2000000,12987,1207,25-Nov-13,Condominium,999 Yrs From 10/08/1878,1993,Resale,Private,11,28,288061,Central Region,Bukit Timah
1.323205,103.805246,N.A.,31 Coronation Drive ,1,357,Land,6400000,17912,1664,8-Jan-14,Semi-Detached House,999 Yrs From 27/12/1875,1982,Resale,Private,10,26,269585,Central Region,Bukit Timah
1.324144,103.807499,DUCHESS MANOR,20C Duchess Road  #05-15 ,1,293,Strata,2820000,9625,894,20-Dec-13,Condominium,999 Yrs From 27/12/1875,2005,Resale,Private,10,26,269033,Central Region,Bukit Timah
1.324856,103.808335,N.A.,5 Duchess Road ,1,151,Strata,2900000,19205,1784,14-Nov-13,Apartment,999 Yrs From 27/12/1875,1985,Resale,Private,10,26,268979,Central Region,Bukit Timah
1.324856,103.808335,N.A.,5A Duchess Road ,1,151,Strata,2900000,19205,1784,14-Nov-13,Apartment,999 Yrs From 27/12/1875,1985,Resale,Private,10,26,268979,Central Region,Bukit Timah
1.324968,103.808398,N.A.,1 Duchess Road ,1,151,Strata,2900000,19205,1784,14-Nov-13,Apartment,999 Yrs From 27/12/1875,1985,Resale,Private,10,26,268977,Central Region,Bukit Timah
1.325001,103.808414,N.A.,3 Duchess Road ,1,151,Strata,2900000,19205,1784,14-Nov-13,Apartment,999 Yrs From 27/12/1875,1985,Resale,Private,10,26,268978,Central Region,Bukit Timah
1.304998,103.825894,ST REGIS RESIDENCES SINGAPORE,31 Tanglin Road  #08-03 ,1,349,Strata,8080000,23152,2151,13-Dec-13,Apartment,999 Yrs From 24/11/1995,2008,Resale,Private,10,24,247912,Central Region,Orchard
1.293385,103.82792,VALLEY PARK,473 River Valley Road  #12-02 ,1,113,Strata,1860000,16460,1529,27-Jan-14,Condominium,999 Yrs From 21/06/1877,1997,Resale,Private,10,24,248358,Central Region,Tanglin
1.293385,103.82792,VALLEY PARK,473 River Valley Road  #16-02 ,1,113,Strata,1800000,15929,1480,4-Dec-13,Condominium,999 Yrs From 21/06/1877,1997,Resale,HDB,10,24,248358,Central Region,Tanglin
1.294422,103.828093,RV RESIDENCES,469 River Valley Road  #05-30 ,1,80,Strata,1754800,21935,2038,12-Nov-13,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,Private,10,24,248354,Central Region,Tanglin
1.294503,103.828213,RV RESIDENCES,465 River Valley Road  #07-16 ,1,108,Strata,2244340,20781,1931,24-Dec-13,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,Private,10,24,248350,Central Region,Tanglin
1.294503,103.828213,RV RESIDENCES,465 River Valley Road  #05-14 ,1,42,Strata,930700,22160,2059,18-Dec-13,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,HDB,10,24,248350,Central Region,Tanglin
1.294503,103.828213,RV RESIDENCES,465 River Valley Road  #03-14 ,1,42,Strata,918400,21867,2031,18-Dec-13,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,HDB,10,24,248350,Central Region,Tanglin
1.294503,103.828213,RV RESIDENCES,465 River Valley Road  #03-19 ,1,63,Strata,1354640,21502,1998,3-Dec-13,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,HDB,10,24,248350,Central Region,Tanglin
1.294503,103.828213,RV RESIDENCES,465 River Valley Road  #06-15 ,1,63,Strata,1383340,21958,2040,25-Nov-13,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,HDB,10,24,248350,Central Region,Tanglin
1.294503,103.828213,RV RESIDENCES,465 River Valley Road  #06-18 ,1,64,Strata,1410400,22038,2047,20-Nov-13,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,HDB,10,24,248350,Central Region,Tanglin
1.294543,103.828273,RV RESIDENCES,463 River Valley Road  #04-10 ,1,64,Strata,1428440,22319,2074,3-Jan-14,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,Private,10,24,248348,Central Region,Tanglin
1.294543,103.828273,RV RESIDENCES,463 River Valley Road  #05-10 ,1,64,Strata,1439100,22486,2089,23-Dec-13,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,HDB,10,24,248348,Central Region,Tanglin
1.294543,103.828273,RV RESIDENCES,463 River Valley Road  #06-10 ,1,64,Strata,1448120,22627,2102,12-Nov-13,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,HDB,10,24,248348,Central Region,Tanglin
1.294584,103.828333,RV RESIDENCES,461 River Valley Road  #05-02 ,1,42,Strata,953660,22706,2109,6-Jan-14,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,HDB,10,24,248346,Central Region,Tanglin
1.294584,103.828333,RV RESIDENCES,461 River Valley Road  #03-02 ,1,42,Strata,926600,22062,2050,26-Nov-13,Condominium,999 Yrs From 21/06/1877,Uncompleted,New Sale,HDB,10,24,248346,Central Region,Tanglin
1.293167,103.828573,VALLEY PARK,483 River Valley Road  #10-04 ,1,80,Strata,1200000,15000,1394,11-Dec-13,Condominium,999 Yrs From 21/06/1877,1997,Resale,HDB,10,24,248368,Central Region,Tanglin
1.381678,103.829774,TEACHER'S HOUSING ESTATE,15A Kalidasa Avenue ,1,111,Strata,800000,7207,670,23-Jan-14,Apartment,999 Yrs From 02/12/1885,Unknown,Resale,Private,26,78,789394,North East Region,Ang Mo Kio
1.292591,103.83088,ZENITH,60 Zion Road  #07-05 ,1,52,Strata,1110000,21346,1983,3-Dec-13,Apartment,999 Yrs From 21/06/1877,2011,Resale,HDB,10,24,247785,Central Region,Tanglin
1.294638,103.840014,ASPEN HEIGHTS,263 River Valley Road  #09-20 ,1,148,Strata,2455100,16589,1541,13-Dec-13,Condominium,999 Yrs From 01/07/1841,1998,Resale,Private,9,23,238309,Central Region,River Valley
1.292932,103.84046,ROBERTSON EDGE,18 Tong Watt Road  #06-01 ,1,37,Strata,740000,20000,1858,25-Nov-13,Apartment,999 Yrs From 01/07/1841,2008,Resale,Private,9,23,238010,Central Region,River Valley
