longitude,latitude,OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSFLO,ADDRESSPOS,ADDRESSSTR,ADDRESSTYP,ADDRESSUNI,DESCRIPTIO,HYPERLINK,LANDXADDRE,LANDYADDRE,NAME,PHOTOURL,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
103.74274396891036,1.32083253854002,28,37A,,,601037,Teban Gardens Road,I,,,,17936.37000000000,33678.40000000000,Blk 37A Teban Gardens Road,,AED484296A8F502D,2014/01/29,17919.93740000000,33676.65220000000
103.85529922985113,1.362651226264629,29,409,,,560409,Ang Mo Kio Ave 10,I,,,,30454.04000000000,38313.59000000000,Blk 409 Ang Mo Kio Ave 10,,3183B24099BC38DA,2014/01/29,30446.18750000000,38300.57610000000
103.79277377714308,1.308117803413222,30,44,,,270044,Holland Drive,I,,,,23487.74000000000,32270.57000000000,Blk 44 Holland Drive,,D83A4056725B504B,2014/01/29,23487.74120000000,32270.57480000000
103.76451059237966,1.31326495224079,31,448,,,120448,Clementi Ave 3,I,,,,20342.32000000000,32839.78000000000,Blk 448 Clementi Ave 3,,A55B9812E18D9968,2014/01/29,20342.32660000000,32839.78910000000
103.83995321356082,1.367230201249784,32,226H,,,568226,Ang Mo Kio Street 22,I,,,,28738.35000000000,38806.88000000000,Blk 226H Ang Mo Kio Street 22,,C915BB3398A8E8E1,2014/01/29,28738.35520000000,38806.88580000000
103.73778125857241,1.343508172505044,33,254,,,600254,Jurong East Street 24,I,,,,17367.73000000000,36176.73000000000,Blk 254 Jurong East Street 24,,19B4B03E1AA52C9A,2014/01/29,17367.73330000000,36184.03180000000
103.86302146289474,1.319217094634853,34,29,,,330029,Bendemeer Road,I,,,,31305.63000000000,33497.85000000000,Blk 29 Bendemeer Road,,638F0A79FE548AFA,2014/01/29,31305.63940000000,33497.86070000000
103.83694700193684,1.35205436325217,35,320,,,570320,Shunfu Road,I,,,,28413.24000000000,37123.63000000000,Blk 320 Shunfu Road,,DD13EB6D1F8B1314,2014/01/29,28403.80250000000,37128.81820000000
103.84822071202179,1.364119950294376,36,341,,,560341,Ang Mo Kio Ave 1,I,,,,29662.16000000000,38461.34000000000,Blk 341 Ang Mo Kio Ave 1,,81CD803570E18527,2014/01/29,29658.43090000000,38462.97410000000
103.73144948843745,1.345222442693494,37,347,,,600347,Jurong East Ave 1,I,,,,16677.58000000000,36383.57000000000,Blk 347 Jurong East Ave 1,,49C759B8AEDAA484,2014/01/29,16663.08320000000,36373.61580000000
103.77077281680572,1.314380646529904,38,353,,,120353,Clementi Ave 2,I,,,,21046.37000000000,32961.71000000000,Blk 353 Clementi Ave 2,,85CB434514C20C97,2014/01/29,21039.25590000000,32963.13850000000
103.8563514769514,1.368240533796171,39,453A,,,561453,Ang Mo Kio Ave 10,I,,,,30563.28000000000,38918.61000000000,Blk 453A Ang Mo Kio Ave 10,,4FD995955FF25FC6,2014/01/29,30563.28440000000,38918.61440000000
103.87930971047112,1.317034852928757,40,49,,,380049,Sims Place,I,,,,33130.31000000000,33261.95000000000,Blk 49 Sims Place,,D36821DB468936C8,2014/01/29,33118.36630000000,33256.58700000000
