longitude,latitude,OBJECTID,ADDRESSBLO,ADDRESSSTR,NAME,ADDRESSPOS,HYPERLINK,PHOTOURL,FMEL_UPD_D,X_ADDR,Y_ADDR,Rating
103.8559527,1.289669324,13,8,Raffles Avenue,library@esplanade,39802,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=EPCL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/epclentrance.jpg,27/2/13,30518.9857,30230.6118,76
103.8543568,1.29767938,14,100,Victoria Street,Central Public Library,188064,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=CLL&amp;_pageLabel=corporate_pag,http://www.nlb.gov.sg/library/images/CRW_0001.jpg,27/2/13,30341.3706,31116.3211,56
103.8155637,1.2842251,15,3779,Jalan Bukit Merah,Bukit Merah Public Library,159462,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=BMCL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/pic_bukit_merah.jpg,27/2/13,26024.0333,29628.6132,39
103.8543568,1.29767938,16,100,Victoria Street,National Library Building,188064,http://www.nl.sg/NLWEB.portal?_cn_nodePath=NL/VisitUs/NLSBuilding&amp;_nfpb=true&amp;_cn_bookLevel=1&amp;_cn_bookTitle1=Visit+Us&amp;_pageLabel=NL_CMSPage1&amp;_cn_pageTitle=NLS+Building,,27/2/13,30341.3706,31116.3211,48
103.8054308,1.29864022,17,53,Margaret Drive,Queenstown Public Library,149297,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=QUCL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/pic_QUCL.jpg,27/2/13,24896.3387,31222.5732,45
103.8504918,1.333520771,18,6,Toa Payoh Central,Toa Payoh Public Library,319191,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&_windowLabel=PlLibraryLocations_1_1&PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&PlLibraryLocations_1_1BranchCode=TPCL&_pageLabel=corporate_page_visitus_AllLi,http://www.nlb.gov.sg/library/images/LibPic_0_TPCL.jpg,27/2/13,29911.2002,35079.4748,32
103.7394928,1.332880319,19,21,Jurong East Central 1,Jurong Regional Library,609732,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=JRL&amp;_pageLabel=corporate_pag,http://www.nlb.gov.sg/library/images/Pic_JRL_20040709.gif,27/2/13,17558.1608,35008.8491,5
103.7869353,1.435107733,20,900,South Woodlands Drive,Woodlands Regional Library,730900,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=WRL&amp;_pageLabel=corporate_pag,http://www.nlb.gov.sg/library/images/wrlblg.jpg,27/2/13,22838.2489,46312.4911,9
103.9445248,1.35631201,21,31,Tampines Ave 7,Tampines Regional Library,529620,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=TRL&amp;_pageLabel=corporate_pag,http://www.nlb.gov.sg/library/images/pic_tampines.gif,27/2/13,40375.9787,37599.8911,81
103.8194895,1.448244921,22,30,Sembawang Drive,Sembawang Public Library,757713,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=SBCL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/LibPic_0_SBCL.jpg,27/2/13,26461.0426,47765.0877,98
103.8858373,1.317442988,23,50,Geylang East Ave 1,Geylang East Public Library,389777,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&_windowLabel=PlLibraryLocations_1_1&PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&PlLibraryLocations_1_1BranchCode=GECL&_pageLabel=corporate_page_visitus_AllLi,http://www.nlb.gov.sg/library/images/pic_GECL.jpg,27/2/13,33844.8202,33301.731,42
103.7045385,1.340545856,24,60,Jurong West Central 3,Jurong West Public Library,648346,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=JWCL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/Libpic_jwcl.jpg,27/2/13,13668.1495,35856.6429,41
103.8722961,1.350769352,25,23,Serangoon Central,Serangoon Public Library,556083,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=SRPL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/LibPic_0_SRPL.jpg,27/2/13,32337.7653,36986.7628,4
103.7493535,1.350019508,26,1,Bukit Batok Central Link,Bukit Batok Public Library,658713,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=BBCL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/LibPic_0_BBCL.jpg,27/2/13,18655.6281,36903.9755,93
